ID,AGE_HEAD,AGE_SPOUSE,SEX_HEAD,SEX_SPOUSE,EDU_HEAD,EDU_SPOUSE,OCC_HEAD,OCC_SPOUSE,STATE,MARITAL,HOUSEHOLD_SIZE,CHILDREN,SPOUSE_PRESENT,WEIGHT,INCOME,HEAD_LABOR,SPOUSE_LABOR,WEEKS_HEAD,WEEKS_SPOUSE,WEEKS_OUT_HEAD,WEEKS_OUT_SPOUSE,EXP,GAS,FOOD_HOME,FOOD_DELIV,FOOD_OUT,RENT,EDUC_EXP,CHILDCARE,TRIPS,WEALTH,HOUSE_VALUE,MORTGAGE,MORT_PAY,HOME_EQUITY,BUSINESS_VAL,PROPERTY_TAX
1,60.99999999999999,0,2,0,11.999999999999998,0,0,0,39,2,1,0,0,23335.73599999999,8129.999999999997,0,0,0,0,51.99999999999999,0,8263.999999999998,0,1299.9999999999998,0,1039.9999999999998,4307.999999999999,0,0,0,0,0,0,0,0,0,0
2,40,40,1,2,15.999999999999998,16.999999999999996,4999.999999999999,2299.999999999999,39,1,4,1,1,9700.673999999997,176649.99999999997,90999.99999999996,66999.99999999999,51.99999999999999,51.99999999999999,0,0,96189.99999999996,6599.999999999997,3899.9999999999986,0,2999.999999999999,0,0,0,2999.999999999999,248499.9999999999,274999.99999999994,134999.99999999997,14099.999999999995,139999.99999999994,0,2399.9999999999995
3,74.99999999999999,0,2,0,11.999999999999998,0,0,0,33.99999999999999,3,1,0,0,42926.50999999999,33799.999999999985,0,0,0,0,51.99999999999999,0,31306.99999999999,719.9999999999999,2599.9999999999995,0,1559.9999999999998,0,0,0,1199.9999999999998,733499.9999999998,504999.9999999998,0,0,504999.9999999998,0,13146.999999999995
4,60.99999999999999,0,1,0,11,0,8964.999999999998,0,36.99999999999999,4,1,0,0,18553.490999999995,40399.999999999985,31999.99999999999,0,51.99999999999999,0,0,0,21413.999999999993,2063.9999999999995,3639.9999999999995,0,2599.9999999999995,0,0,0,0,422999.99999999994,119999.99999999996,0,0,119999.99999999996,0,2999.999999999999
5,73.99999999999999,75.99999999999999,1,2,11.999999999999998,11.999999999999998,0,0,40,1,2,0,1,30605.77399999999,32999.999999999985,0,0,0,0,51.99999999999999,51.99999999999999,42639.99999999998,479.99999999999994,7799.999999999997,0,2079.9999999999995,0,0,0,0,75999.99999999997,54999.99999999998,19999.999999999993,4799.999999999999,34999.999999999985,0,449.99999999999994
6,52.99999999999999,0,1,0,11,0,7209.999999999997,0,40,3,1,0,0,29888.37299999999,22999.99999999999,22999.99999999999,0,51.99999999999999,0,0,0,12191.999999999993,839.9999999999999,2599.9999999999995,0,0,0,0,0,0,1005.9999999999997,1999.9999999999993,0,0,1999.9999999999993,0,0
7,27.999999999999996,25.999999999999996,1,2,11.999999999999998,11,4499.999999999999,0,39,2,3,1,1,16918.63399999999,19999.999999999993,19999.999999999993,0,51.99999999999999,0,0,51.99999999999999,31759.999999999985,2399.9999999999995,7799.999999999997,0,2599.9999999999995,5999.999999999998,0,0,0,14999.999999999995,0,0,0,0,0,0
8,44.99999999999999,42,1,2,13.999999999999998,13.999999999999998,3849.9999999999986,0,6,1,4,2,1,23442.56899999999,179701.99999999994,132999.99999999997,0,51.99999999999999,0,0,51.99999999999999,82352.99999999996,3599.9999999999995,5199.999999999999,479.99999999999994,479.99999999999994,0,999.9999999999997,0,3999.9999999999986,577999.9999999999,749999.9999999998,299999.99999999994,20327.999999999985,449999.9999999998,0,6799.999999999997
9,57.99999999999999,0,1,0,11.999999999999998,0,8799.999999999998,0,44.99999999999999,5,1,0,0,5665.689999999997,8319.999999999998,8319.999999999998,0,51.99999999999999,0,0,0,16589.609999999997,0,4119.609999999999,0,1039.9999999999998,4799.999999999999,0,0,0,-11999.999999999995,0,0,0,0,0,0
10,71.99999999999999,71.99999999999999,1,2,16.999999999999996,16.999999999999996,204.99999999999997,0,18.999999999999996,1,2,0,1,20815.17399999999,114169.99999999996,0,0,51.99999999999999,0,0,51.99999999999999,29244.14999999999,839.9999999999999,7799.999999999997,199.99999999999997,49.99999999999999,0,0,0,0,4444999.999999998,199999.99999999994,0,0,199999.99999999994,2299999.999999999,1199.9999999999998
11,84,0,2,0,15.999999999999998,0,5419.999999999999,0,39,4,1,0,0,38911.07999999999,5859.999999999998,699.9999999999999,0,2,0,49.99999999999999,0,11211.999999999996,179.99999999999997,519.9999999999999,0,119.99999999999999,2555.999999999999,0,0,0,2199.9999999999995,0,0,0,0,0,0
11.999999999999998,78,0,2,0,14.999999999999998,0,0,0,45.99999999999999,3,1,0,0,32815.78799999999,31062.99999999999,0,0,0,0,51.99999999999999,0,13464.999999999995,599.9999999999999,1975.9999999999993,0,519.9999999999999,0,0,0,1199.9999999999998,472899.9999999998,224999.9999999999,0,0,224999.9999999999,0,3345.9999999999986
12.999999999999998,34.99999999999999,32.99999999999999,1,2,11.999999999999998,11,0,4609.999999999998,39,1,5,3,1,8903.3229999999985,33469.99999999999,0,27799.99999999999,0,51.99999999999999,51.99999999999999,0,26979.99999999999,599.9999999999999,4159.999999999998,0,1039.9999999999998,0,0,0,0,3449.9999999999986,9999.999999999996,6999.999999999997,2199.9999999999995,2999.999999999999,0,699.9999999999999
13.999999999999998,35.99999999999999,33.99999999999999,1,2,11.999999999999998,12.999999999999998,6199.999999999999,4899.999999999999,47,1,5,3,1,12746.428999999995,75249.99999999997,74999.99999999997,249.99999999999997,51.99999999999999,21,0,30.999999999999996,54120.99999999998,2399.9999999999995,25999.999999999993,359.99999999999994,359.99999999999994,0,0,0,0,121000.99999999996,174999.99999999997,49999.99999999998,4283.999999999999,124999.99999999996,0,647
14.999999999999998,62.99999999999999,0,1,0,14.999999999999998,0,0,0,6,2,1,0,0,32609.32099999999,22999.99999999999,0,0,0,0,0,0,64499.99999999998,1799.9999999999998,3119.9999999999995,0,5199.999999999999,0,0,0,1999.9999999999993,3567999.9999999986,2999999.9999999986,0,0,2999999.9999999986,0,2499.9999999999995
15.999999999999998,44,0,1,0,13.999999999999998,0,8029.999999999997,0,27.999999999999996,2,1,0,0,7769.868999999997,45001.999999999985,44999.999999999985,0,51.99999999999999,0,0,0,28956.249999999985,1799.9999999999998,2079.9999999999995,0,5199.999999999999,0,0,0,0,51599.99999999997,59999.99999999998,9999.999999999996,2831.9999999999986,49999.99999999998,0,199.99999999999997
16.999999999999996,42.99999999999999,0,1,0,13.999999999999998,0,0,0,5,2,1,0,0,30562.020999999986,12971.999999999995,0,0,0,0,51.99999999999999,0,16862.999999999996,299.99999999999994,5199.999999999999,0,2079.9999999999995,0,0,0,0,138299.99999999997,134999.99999999997,0,0,134999.99999999997,0,999.9999999999997
17.999999999999996,30.999999999999996,26.999999999999996,1,2,10,0,0,0,25.999999999999996,2,3,1,1,1261.8849999999995,1499.9999999999995,0,0,0,0,0,51.99999999999999,22976.969999999994,0,6860.2999999999975,0,2805.5099999999993,5999.999999999998,0,0,0,-9999.999999999996,0,0,0,0,0,0
21,86.99999999999999,0,2,0,11.999999999999998,0,0,0,39,3,1,0,0,35474.096999999994,30499.999999999985,0,0,0,0,51.99999999999999,0,17136.999999999996,0,2599.9999999999995,0,1039.9999999999998,0,0,0,0,135999.99999999997,119999.99999999996,0,0,119999.99999999996,0,2199.9999999999995
22,69.99999999999999,65.99999999999999,1,2,11.999999999999998,11.999999999999998,0,0,20,1,2,0,1,24340.32599999999,36499.999999999985,0,0,0,0,51.99999999999999,51.99999999999999,18417.479999999992,1799.9999999999998,3639.9999999999995,0,599.9999999999999,0,0,0,0,31999.99999999999,24999.99999999999,0,0,24999.99999999999,0,299.99999999999994
22.999999999999996,68.99999999999999,65.99999999999999,1,2,15.999999999999998,12.999999999999998,2039.9999999999993,0,5,1,2,0,1,18722.007999999998,60249.99999999997,899.9999999999999,0,9,0,42.99999999999999,51.99999999999999,35001.999999999985,959.9999999999999,3119.9999999999995,0,5199.999999999999,0,0,0,499.99999999999994,527999.9999999999,199999.99999999994,0,0,199999.99999999994,0,399.99999999999994
23.999999999999996,64.99999999999999,61.99999999999999,1,2,13.999999999999998,13.999999999999998,4899.999999999999,4829.999999999999,6,1,2,0,1,15418.260999999993,116999.99999999999,4999.999999999999,45999.99999999998,51.99999999999999,51.99999999999999,0,0,38950.70999999998,0,10399.999999999996,0,2399.9999999999995,0,0,0,4999.999999999999,4702999.999999998,199999.99999999994,0,0,199999.99999999994,0,2199.9999999999995
